AREA,orientation,n,originalPlace,year
1404590000,l,1,leningrad,2012
1404590000,k,6,leningrad,2006
112861000000,l,2,leninsk,2007
112861000000,k,1,leninsk,2012
84212600000,l,1,lenoblast',2012
84212600000,k,1,lenoblast',2007
84212600000,k,1,lenoblast',2011
3035630000000,k,1,lensk,2005
1009120000,l,1,lefortovo,2009
1009120000,k,1,lefortovo,2008
1009120000,l,1,lefortovo,2004
1009120000,l,1,lianozovo,2007
1009120000,k,1,lianozovo,2010
24667200000,k,1,livny,2007
24070400000,k,1,lipetsk,2013
24070400000,l,1,lipetsk,2003
24070400000,k,1,lipetsk,2006
45938100000,k,1,lobnia,2005
84212600000,l,2,luga,2004
84212600000,k,1,luga,2010
84212600000,l,1,luga,2011
84212600000,k,1,luga,2006
120598000000,l,1,luza,2004
120598000000,k,1,luza,2003
120598000000,l,1,luza,2003
120598000000,k,1,luza,2005
45938100000,k,2,lukhovitsy,2010
76790200000,k,1,lyskovo,2010
45938100000,l,1,lytkarino,2007
45938100000,k,1,lytkarino,2006
30003900000,k,1,l'gov,2007
45938100000,l,1,liubertsy,2010
45938100000,k,1,liubertsy,2008
45938100000,k,1,liubertsy,2013
75617300000,l,1,liubimov,2013
75617300000,k,7,liubimov,2013
75617300000,l,1,liubimov,2010
75617300000,k,2,liubimov,2006
1009120000,k,1,liublino,2012
534822000000,k,1,liamin,2011
534822000000,l,1,liapin,2012
534822000000,k,1,liapin,2013
534822000000,k,1,liapin,2012
462572000000,l,1,magadan,2007
462572000000,k,1,magadan,2011
462572000000,l,1,magadan,2012
462572000000,k,2,magadan,2003
88634600000,l,1,magnitogorsk,2008
88634600000,k,3,magnitogorsk,2007
88634600000,l,1,magnitogorsk,2004
88634600000,k,1,magnitogorsk,2012
7784290000,k,1,maikop,2010
7784290000,k,1,maikop,2013
45938100000,l,1,malakhovka,2006
45938100000,k,1,malakhovka,2008
45938100000,l,1,malakhovka,2013
45938100000,k,1,malakhovka,2011
29801200000,l,1,mamonovo,2005
29801200000,k,2,mamonovo,2005
29801200000,l,2,mamonovo,2007
60248100000,k,1,manturovo,2013
95796800000,k,1,mariinsk,2003
95796800000,l,1,mariinsk,2003
1009120000,k,1,maroseika,2004
1009120000,k,1,maroseika,2007
1009120000,l,2,mar'ino,2012
1009120000,k,1,mar'ino,2009
1009120000,k,1,mar'ino,2007
49932100000,l,1,makhachkala,2003
49932100000,k,1,makhachkala,2003
66180200000,k,1,mashuk,2004
1009120000,l,1,medvedkovo,2004
1009120000,k,1,medvedkovo,2007
172464000000,k,1,medvezh'egorsk,2003
49871500000,l,1,melan',2004
49871500000,k,1,melan',2003
49871500000,l,1,melan',2009
49871500000,k,1,melan',2012
88634600000,k,1,miass,2008
88634600000,l,1,miass,2010
88634600000,k,1,miass,2011
4496400000,k,2,minusinsk,2004
1009120000,k,1,mitino,2009
112861000000,k,1,mikhailovka,2009
45938100000,l,1,mozhaisk,2012
45938100000,l,1,mozhaisk,2008
7998460000,k,1,mozdok,2004
7998460000,k,1,mozdok,2003
45938100000,l,1,monino,2004
45938100000,k,1,monino,2011
26149800000,k,2,mordoviia,2003
26149800000,l,1,mordoviia,2011
26149800000,k,1,mordoviia,2010
1009120000,l,2,moskva,2006
1009120000,k,11,moskva,2004
177881000000,l,1,moshkovo,2007
177881000000,k,1,moshkovo,2003
177881000000,l,1,moshkovo,2009
177881000000,k,1,moshkovo,2008
34463000000,l,1,moshkovy,2007
34463000000,k,1,moshkovy,2003
84480900000,k,1,msta,2005
76790200000,k,1,mulino,2008
143071000000,l,1,murmansk,2003
143071000000,k,1,murmansk,2006
143071000000,l,1,murmansk,2010
143071000000,k,3,murmansk,2012
24667200000,k,1,mtsensk,2003
45938100000,l,1,mytishchi,2007
45938100000,k,1,mytishchi,2003
45938100000,l,1,mytishchi,2004
52206800000,l,1,nab,2006
52206800000,k,1,nab,2011
52206800000,l,1,nab,2011
19253200000,l,2,nazran',2008
19253200000,k,1,nazran',2004
12455100000,k,1,nal'chik,2003
12455100000,l,1,nal'chik,2009
12455100000,k,1,nal'chik,2005
142986000000,l,1,nary,2004
142986000000,k,1,nary,2004
142986000000,l,3,nary,2011
142986000000,k,1,nary,2006
45938100000,k,1,nakhabino,2010
45938100000,k,1,nakhabino,2005
84480900000,k,1,nelidovo,2010
1009120000,l,1,neo,2010
1009120000,k,2,neo,2012
1009120000,l,2,neo,2005
1009120000,k,1,neo,2006
534822000000,k,1,nefteiugansk,2007
534822000000,l,1,nizhnevartovsk,2005
534822000000,k,1,nizhnevartovsk,2005
68035300000,l,1,nizhnekamsk,2005
68035300000,k,1,nizhnekamsk,2008
112861000000,k,1,nikolaevsk,2012
112861000000,k,1,nikolaevsk,2004
55092400000,l,1,novgorod,2011
55092400000,k,6,novgorod,2007
55092400000,l,3,novgorod,2004
55092400000,k,1,novgorod,2012
1009120000,l,1,novogorsk,2005
1009120000,k,1,novogorsk,2005
307619000000,k,1,novodvinsk,2007
95796800000,k,1,novokuznetsk,2007
95796800000,l,1,novokuznetsk,2003
53541500000,k,1,novokuibyshevsk,2012
25714300000,k,1,novomoskovsk,2007
25714300000,l,1,novomoskovsk,2009
1009120000,k,1,novoperedelkino,2013
75617300000,l,2,novorossiisk,2003
75617300000,k,1,novorossiisk,2007
75617300000,l,1,novorossiisk,2009
75617300000,k,1,novorossiisk,2009
177881000000,l,1,novosibirsk,2010
177881000000,k,2,novosibirsk,2007
177881000000,l,1,novosibirsk,2004
177881000000,k,3,novosibirsk,2006
194272000000,k,1,novoural'sk,2007
194272000000,k,1,novoural'sk,2004
18379500000,k,1,novocheboksarsk,2003
101055000000,l,1,novocherkassk,2006
101055000000,k,1,novocherkassk,2010
101055000000,k,1,novocherkassk,2004
101055000000,k,1,novoshakhtinsk,2004
45938100000,k,1,noginsk,2008
45938100000,k,1,noginsk,2003
4496400000,l,1,noril'sk,2011
4496400000,k,1,noril'sk,2006
4496400000,l,1,noril'sk,2012
4496400000,k,1,noril'sk,2008
29801200000,l,1,obninsk,2005
29801200000,k,1,obninsk,2008
29801200000,l,1,obninsk,2007
29801200000,k,1,obninsk,2003
177881000000,l,1,ob',2003
177881000000,k,1,ob',2010
177881000000,l,1,ob',2005
177881000000,k,1,ob',2013
55092400000,k,1,okulovka,2009
1404590000,k,1,ol'gino,2009
1404590000,k,1,ol'gino,2006
141206000000,l,1,omsk,2006
141206000000,k,2,omsk,2008
141206000000,l,1,omsk,2009
141206000000,k,1,omsk,2007
307619000000,l,1,onega,2012
307619000000,l,1,onega,2003
307619000000,k,1,onega,2006
124242000000,l,1,orenburg,2009
124242000000,k,2,orenburg,2011
124242000000,l,1,orenburzh'e,2009
1009120000,l,1,orekhovo,2012
1009120000,k,1,orekhovo,2008
1009120000,k,1,orekhovo,2005
124242000000,l,1,orsk,2006
124242000000,k,1,orsk,2013
45938100000,l,1,ostaf'evo,2003
84480900000,l,1,ostashkov,2006
84480900000,l,1,ostashkov,2011
1009120000,l,2,ostozhenka,2011
1009120000,k,2,ostozhenka,2007
1009120000,l,1,ostozhenka,2008
1009120000,k,2,ostozhenka,2006
782666000000,k,1,okhotsk,2005
194272000000,k,1,oshchepkovy,2013
76790200000,k,1,pavlovo,2007
1404590000,l,1,pavlovsk,2008
1404590000,k,4,pavlovsk,2009
1404590000,l,1,pavlovsk,2007
169950000000,k,1,palana,2004
21633900000,k,1,palekh,2003
2066130000,k,1,paramushir,2012
165229000000,l,1,partizansk,2006
165229000000,k,1,partizansk,2003
43351300000,l,2,penza,2008
43351300000,k,1,penza,2008
43351300000,k,1,penza,2012
194272000000,l,1,pervoural'sk,2013
194272000000,l,1,pervoural'sk,2005
45938100000,l,1,peredelkino,2009
45938100000,k,5,peredelkino,2007
45938100000,l,2,peredelkino,2003
45938100000,k,3,peredelkino,2010
36156700000,l,1,pereslavl',2008
36156700000,k,1,pereslavl',2009
36156700000,k,2,pereslavl',2006
128003000000,l,2,perm',2006
128003000000,k,3,perm',2007
